date,username,tweet
10/2/2018,tasalinayohana,@KAI121 Apakah masih cukup banyak?
10/2/2018,tasalinayohana, #tanya #KAI #121 KRD tujuan Stasiun Waru ke Stasiun Babat untuk hari ini apakah masih tersedia tiket dgn tempat duduk?
10/2/2018,missen_ria,"@KAI121 mau tanya untuk kereta ekonomi majapahit tujuan Stasiun Malang-Pasar Senen itu kan tempat duduknya 2-2, itu menghadap kedepan semua seperti ekonomi premium atau berhadap2an seperti kereta kutojaya misalnya. Thanks"
10/2/2018,r10_dm,"@KAI121 @CommuterLine @krlmania ada apa nih kajj pada telat kayaknya, 1321a ditahan dicikarang 2ka,tambun 1ka,entah nanti bekasi, cakung, jatinegara?"
10/2/2018,danangs79,@KAI121 saat ini pembangunan double track purwokerto-kutoarjo. Usul kalo kereta berhenti rada lama karena silang dengan kereta lain ada pemberitahuan dari petugas di KA
10/2/2018,dhandynurima,@KAI121 min kalau mau ubah jadwal keberangkatan tiket jarak jauh bisa revisi via call center ga min?
10/2/2018,tio04879478,@KAI121 Kalau Gajayana Malang-Gambir tanggal berapa ya? Semoga waktu tempuhnya bisa dipercepat lagi.karena dengan harga tiket pesawat Malang-Jakarta tidak terpaut jauh.
10/2/2018,rovigh1309,"@KAI121 selamat pagi, sya ingin menanyakan u/ rescedule tiket itu bagaimana terus apakah dikenakan biaya? Saya pembelian 2 tiket seharga 200 rb mau sya rescedule dg harga 370 rb sama u/ 2 tiket juga, berarti saya harus menambah biaya lg berapa? Thanks"
10/2/2018,dhefiieyputri1,"@KAI121 min, mau tanya apakah tiket penataran doho Malang ke Kediri tgl 2 Oktober masih tersedia tempat duduk ?"
